Ensembl_ID,ext_gene,biotype,chr,WT.6dpf.1,WT.6dpf.4,pex5KO.6dpf.1,pex5KO.6dpf.2
ENSDARG00000015016,kif26ab,protein_coding,17,1.940526903,0,0.808653096,0
ENSDARG00000062929,FAM83G,protein_coding,1,0,0,0,0
ENSDARG00000009430,tmem30c,protein_coding,9,1.940526903,2.513901711,3.212153657,2.363891357
ENSDARG00000067997,myhz1.3,protein_coding,5,0,0.836143193,0,0
ENSDARG00000039150,lgmn,protein_coding,13,5.131815703,6.676661993,7.661223769,5.704688162
ENSDARG00000038028,ndufa6,protein_coding,3,6.900934728,7.169116722,7.460390929,7.406569149
ENSDARG00000077911,treh,protein_coding,18,0,1.36207273,0.808653096,0.758099792
ENSDARG00000091548,stard9,protein_coding,17,0,0.836143193,1.702536188,0
ENSDARG00000062216,narfl,protein_coding,3,3.991127708,3.919805363,3.324652912,3.672589002
ENSDARG00000012603,eif3ja,protein_coding,25,4.691339212,5.588452837,4.810274172,4.614880184
ENSDARG00000042616,sema3h,protein_coding,8,0.773671072,0,0.808653096,0
ENSDARG00000043705,mob3c,protein_coding,11,1.645629537,1.36207273,0.808653096,0
ENSDARG00000102216,dlg1l,protein_coding,2,3.856256294,3.842939542,4.510688964,2.852269367
ENSDARG00000043904,pnrc1,protein_coding,20,0,0.836143193,0,0
ENSDARG00000054458,slmapa,protein_coding,11,1.940526903,2.513901711,2.95683331,1.620016101
ENSDARG00000059123,plcd1a,protein_coding,24,1.940526903,3.919805363,3.703234334,2.707103416
ENSDARG00000033160,nr1d1,protein_coding,3,2.739181937,3.486524492,0.808653096,3.821094802
ENSDARG00000104573,slc12a2,protein_coding,10,1.940526903,3.012110973,2.250317981,1.620016101
ENSDARG00000013863,fam133b,protein_coding,19,4.228077007,3.919805363,4.602815389,4.347334249
ENSDARG00000034107,actl6b,protein_coding,23,0.773671072,0,0,0.758099792
ENSDARG00000040527,siae,protein_coding,18,0,0,0,0
ENSDARG00000086336,si:ch211-157b11.12,protein_coding,6,0.773671072,1.746662492,0.808653096,1.620016101
